bigeye|||Bigeyes have extremely large eyes adapted for nocturnal feeding.
mahi-mahi|||Mahi-mahi are also called dorado or dolphinfish, not to be confused with dolphins.
katydid|||Katydid songs are ultrasonic, making them difficult for humans to hear without special equipment.
cabbage-white-butterfly|||The small white is one of the most common butterflies in the world and a notorious garden pest.
chambered-nautilus|||Has remained virtually unchanged for over 500 million years.
roseate-spoonbill|||Roseate spoonbills sweep their spatulate bills side to side through shallow water to catch small fish and crustaceans.
japanese-horseshoe-crab|||Its blue blood contains Limulus Amebocyte Lysate, used to test for bacterial contamination in medical equipment.
crested-iguana|||Crested iguanas can change color from green to black based on temperature and social context.
patrol-bess-beetle|||Patrol bess beetles produce sounds by rubbing ridges on their abdomen when disturbed.
eurasian-pike|||Eurasian pike can accelerate from a standstill to 20 mph in less than a tenth of a second.
spring-peeper|||The Spring Peeper's high-pitched peeping call can be heard from over a mile away during breeding season.
spiny-lobster|||Lacks large claws and instead produces loud rasping sounds to deter predators.
aphid|||Aphids can produce up to 80 offspring per female without mating through parthenogenesis.
bumblebee|||Bumblebees can fly in colder temperatures than most bees due to their ability to thermoregulate.
dark-eyed-junco|||Dark-eyed juncos are called snowbirds because they appear in southern states during winter.
bufflehead|||Buffleheads are the smallest diving ducks in North America and often nest in old woodpecker holes.
channel-catfish|||Channel catfish have taste buds covering their entire body and can taste food from far away.
chimney-swift|||Chimney swifts can spend almost their entire lives in the air, even sleeping while flying.
clown-tree-frog|||Clown Tree Frogs are named for their playful, acrobatic movements through the trees.
jumping-bristletail|||Jumping bristletails are among the most ancient insects, with a fossil record dating back 400 million years.
tawny-frogmouth|||Tawny frogmouths are often mistaken for owls but are actually more closely related to nightjars.
frigatebird|||Frigatebirds can stay airborne for weeks and sleep while flying over the ocean.
king-crab|||Its spiny shell can span over 5 feet from leg tip to leg tip.
rainbow-boa|||Rainbow boas have iridescent scales that refract light, creating a stunning rainbow shimmer in the sun.
sergeant-major|||Male sergeant majors turn dark purple when guarding their eggs.
tasmanian-tiger|||Despite being called a tiger, it was actually a marsupial more closely related to kangaroos than to big cats.
coopers-hawk|||Coopers hawks are agile enough to chase prey through dense forest at high speed.
coconut-hermit-crab|||Often found in coconut shells and can grow large enough to use coconut husks as shelters.
brown-kiwi|||Kiwi eggs are enormous relative to body size, up to 20% of the females body weight.
eastern-bluebird|||Eastern bluebirds can see ultraviolet light, which helps them find ripe berries.
ghost-mantis|||The ghost mantis looks exactly like a dried, dead leaf, making it nearly invisible.
common-raven|||Ravens can slide down snow-covered roofs for fun and perform aerial acrobatics.
army-ant|||Army ant colonies of millions move in massive raiding columns that devour everything in their path.
green-heron|||Green herons are one of the few bird species that use tools, dropping bait on the water to attract fish.
thorny-oyster|||Shell is covered in long, sharp spines that deter predators.
dobsonfly|||Dobsonfly larvae, called hellgrammites, are indicators of good water quality.
